timestamp,temp,hum,co2,ammonia
2025-11-01 00:00:00,27.29,67.79,426.46,0.78
2025-11-01 00:10:00,26.26,70.4,416.51,0.91
2025-11-01 00:20:00,26.18,67.15,425.08,0.85
2025-11-01 00:30:00,26.51,69.01,427.2,0.86
2025-11-01 00:40:00,28.09,68.11,434.36,0.85
2025-11-01 00:50:00,28.22,71.36,436.24,0.94
2025-11-01 01:00:00,29.03,67.3,418.57,0.95
2025-11-01 01:10:00,27.81,70.01,428.31,0.91
2025-11-01 01:20:00,28.25,68.68,424.11,0.84
2025-11-01 01:30:00,28.06,67.76,439.65,0.87
2025-11-01 01:40:00,28.71,63.32,454.28,0.87
2025-11-01 01:50:00,28.48,66.9,433.48,0.83
2025-11-01 02:00:00,29.0,65.71,423.0,0.8
2025-11-01 02:10:00,28.9,69.81,457.73,0.88
2025-11-01 02:20:00,30.25,66.07,435.85,0.94
2025-11-01 02:30:00,29.97,68.24,421.84,0.85
2025-11-01 02:40:00,29.68,67.61,438.06,1.01
2025-11-01 02:50:00,30.31,66.35,426.36,1.05
2025-11-01 03:00:00,29.49,66.44,419.72,0.73
2025-11-01 03:10:00,29.48,63.69,437.31,0.72
2025-11-01 03:20:00,31.6,67.77,414.58,1.01
2025-11-01 03:30:00,31.35,65.73,430.29,0.81
2025-11-01 03:40:00,30.39,67.16,433.77,0.91
2025-11-01 03:50:00,29.2,64.87,443.75,0.97
2025-11-01 04:00:00,30.38,69.46,428.08,0.95
2025-11-01 04:10:00,30.28,66.73,452.43,0.95
2025-11-01 04:20:00,31.21,64.26,442.14,1.06
2025-11-01 04:30:00,31.44,64.75,443.81,1.03
2025-11-01 04:40:00,31.0,61.64,441.31,1.02
2025-11-01 04:50:00,30.39,66.35,453.14,0.99
2025-11-01 05:00:00,30.45,66.58,441.79,1.01
2025-11-01 05:10:00,31.59,62.64,452.25,0.9
2025-11-01 05:20:00,31.79,64.03,435.55,1.01
2025-11-01 05:30:00,30.74,61.83,449.0,1.0
2025-11-01 05:40:00,31.11,65.25,441.77,1.05
2025-11-01 05:50:00,32.01,66.42,435.42,1.05
2025-11-01 06:00:00,30.96,62.19,440.92,0.97
2025-11-01 06:10:00,32.15,63.2,453.01,0.98
2025-11-01 06:20:00,31.46,65.65,456.21,1.12
2025-11-01 06:30:00,30.76,65.11,445.64,1.11
2025-11-01 06:40:00,30.78,62.67,451.97,1.06
