temp,hum,co2,ammonia,co2
38.62,66.22,385.66,1.36,0
37.52,69.21,452.12,1.41,0
26.25,75.96,382.85,1.29,0
34.4,71.01,373.01,1.18,0
37.75,64.28,401.94,1.32,0
30.02,73.32,454.88,1.27,0
40.31,59.61,379.08,0.89,0
39.62,65.4,459.4,0.99,0
36.53,58.85,383.28,1.33,0
29.29,74.01,449.52,1.29,0
31.32,72.68,437.31,0.93,0
32.92,59.79,453.91,1.18,0
37.2,66.32,382.03,1.24,0
35.43,68.29,478.89,2.66,0
32.29,71.96,436.33,1.28,0
27.99,78.26,384.55,1.16,0
22.82,77.64,455.64,1.22,0
39.8,66.09,443.66,1.28,0
30.53,72.95,373.96,1.31,0
37.51,67.52,369.14,1.11,0
38.72,64.07,418.76,1.21,0
38.8,67.54,448.47,1.28,0
31.24,65.64,377.02,1.05,0
33.67,72.76,456.93,1.14,0
32.99,63.19,454.08,1.26,0
26.91,75.2,459.48,1.23,0
28.11,74.32,374.77,1.06,0
33.46,77.59,432.89,1.08,0
39.39,68.89,432.58,1.05,0
31.88,66.58,402.51,1.22,0
33.72,65.53,454.34,1.28,0
37.35,71.09,402.85,1.5,0
29.0,72.86,400.89,2.36,0
31.53,73.87,368.24,1.03,0
32.65,75.56,383.49,1.32,0
38.5,66.2,443.93,1.33,0
29.81,64.57,473.73,1.06,0
34.39,62.81,437.45,1.17,0
34.46,64.52,455.0,1.08,0
32.66,62.82,397.72,1.14,0
32.33,70.07,457.83,1.28,0
28.36,74.57,377.38,1.34,0
35.03,68.48,394.79,1.33,0
27.39,68.84,462.12,1.34,0
29.19,69.68,469.9,0.86,0
28.73,73.77,394.74,0.86,0
31.76,73.48,468.82,1.17,0
29.51,69.6,414.86,1.37,0
29.69,71.13,352.17,1.29,0
34.98,70.28,470.36,1.47,0
27.3,74.82,398.78,1.08,0
33.63,66.05,438.97,1.0,0
33.07,70.82,383.14,1.13,0
33.41,69.91,402.85,1.2,0
34.01,67.24,471.57,1.22,0
29.56,72.83,442.61,1.26,0
36.89,68.18,375.51,1.36,0
31.82,68.63,435.05,1.28,0
27.31,76.08,442.24,1.31,0
31.59,62.64,452.25,0.9,0
28.04,68.74,460.85,0.93,0
30.64,70.28,470.16,0.71,0
31.64,69.05,362.89,0.89,0
26.3,78.18,397.24,1.15,0
30.39,65.85,450.63,1.28,0
37.69,69.57,408.73,1.42,0
33.83,67.19,400.43,0.83,0
30.43,75.91,383.54,0.94,0
29.16,68.73,396.94,0.9,0
27.97,67.26,376.09,1.01,0
31.14,70.86,459.47,1.08,0
36.91,63.73,378.47,0.87,0
31.22,69.44,448.35,0.84,0
29.88,65.34,413.42,1.12,0
38.77,65.47,441.58,1.78,0
35.44,67.84,386.37,2.35,0
31.34,66.39,380.02,1.36,0
26.12,73.64,393.95,1.3,0
31.71,73.67,444.3,0.88,0
29.22,73.06,377.66,1.39,0
28.56,72.23,375.21,0.94,0
31.71,77.59,381.66,1.76,0
24.33,75.02,455.84,1.02,0
25.8,70.56,408.5,1.29,0
31.26,72.79,423.58,1.19,0
40.61,64.44,427.81,0.77,0
23.94,75.5,436.3,1.18,0
32.15,61.91,374.14,1.02,0
30.89,76.06,383.85,1.14,0
35.12,66.36,382.86,1.23,0
34.26,64.71,436.67,1.23,0
32.3,72.45,376.62,0.99,0
26.26,73.45,430.16,0.98,0
33.06,72.52,394.15,1.26,0
37.83,69.79,421.38,0.96,0
27.0,70.33,423.63,1.02,0
28.23,69.21,433.5,1.14,0
31.62,64.12,406.87,1.25,0
23.0,75.42,397.24,1.08,0
38.73,64.98,393.42,0.98,0
31.23,65.92,524.1,1.21,1
33.21,66.8,413.25,0.89,0
39.42,64.26,400.57,1.28,0
28.04,73.98,418.22,1.07,0
24.14,73.71,403.25,1.06,0
30.41,66.89,417.69,1.04,0
39.56,64.35,458.14,0.82,0
31.09,69.4,445.58,0.77,0
38.34,67.46,398.4,1.2,0
23.48,71.38,452.9,1.29,0
30.04,71.35,474.52,1.04,0
26.16,68.07,379.87,1.1,0
32.66,65.28,462.5,1.21,0
33.23,62.68,436.0,0.77,0
34.13,72.24,373.42,0.77,0
27.23,71.9,449.83,0.91,0
29.46,72.08,388.53,1.19,0
32.22,76.52,381.7,0.93,0
31.37,61.82,389.77,0.91,0
33.64,69.76,469.66,1.23,0
24.63,77.5,405.61,1.38,0
28.45,78.07,383.32,0.8,0
30.31,68.91,432.34,0.86,0
29.92,63.8,377.76,1.03,0
31.84,71.47,426.08,1.16,0
24.3,74.47,448.41,1.23,0
35.6,68.41,377.01,1.37,0
36.95,62.69,404.36,1.34,0
38.43,67.18,410.57,0.96,0
30.77,71.06,451.66,1.28,0
35.26,66.2,445.31,1.01,0
34.95,69.58,423.69,1.51,0
27.59,70.34,449.59,1.2,0
26.33,72.49,432.19,0.83,0
33.58,66.0,444.17,1.01,0
32.35,75.62,468.69,1.29,0
37.3,64.43,389.91,1.14,0
29.01,77.95,455.88,0.83,0
36.13,63.16,441.94,1.22,0
32.02,63.63,423.22,1.19,0
36.68,64.02,431.38,1.21,0
38.95,65.55,433.08,1.4,0
22.78,77.55,448.66,1.3,0
25.95,74.07,427.96,0.8,0
35.81,65.41,431.98,1.11,0
29.83,71.55,380.09,1.07,0
34.48,62.55,372.43,1.0,0
34.57,68.59,424.64,1.11,0
32.52,76.38,450.68,1.03,0
26.32,72.34,458.08,1.32,0
36.61,63.59,436.19,1.25,0
29.69,71.77,435.17,1.29,0
29.66,73.49,399.99,1.14,0
38.45,67.86,373.83,1.0,0
33.76,61.23,411.46,1.05,0
34.28,64.41,385.41,0.83,0
26.55,76.1,413.88,1.18,0
35.42,69.37,437.32,1.35,0
38.03,69.88,457.49,1.18,0
35.28,71.68,410.39,1.3,0
36.68,72.07,445.61,1.47,0
32.03,75.31,416.38,1.08,0
28.22,72.27,459.57,1.37,0
29.2,77.5,446.29,1.02,0
36.16,69.39,380.55,1.31,0
31.64,79.39,448.16,1.19,0
28.15,73.04,435.54,0.92,0
34.39,63.19,376.95,1.06,0
29.56,71.97,388.92,1.2,0
39.74,64.25,432.18,1.27,0
29.6,70.66,443.13,1.0,0
30.21,70.91,402.5,0.9,0
29.99,66.02,428.32,1.29,0
29.19,74.95,512.23,1.2,1
30.75,70.66,464.89,0.8,0
27.63,70.82,455.58,1.21,0
34.37,66.31,433.73,1.24,0
26.57,71.21,412.63,0.95,0
